adr_index,adr_hash
1,NA1
2,NA2
3,NA3
4,NA4
5,NA5
6,NA6
7,NA7
8,NA8
9,NA9
10,NA10
11,NA11
12,NA12
13,NA13
14,NA14
15,NA15
16,NA16
17,NA17
18,NA18
19,NA19
20,NA20
21,NA21
22,NA22
23,NA23
24,NA24
25,NA25
26,NA26
27,NA27
28,NA28
29,NA29
30,NA30
31,NA31
32,NA32
33,NA33
34,NA34
35,NA35
36,NA36
37,NA37
38,NA38
39,NA39
40,NA40
41,NA41
42,NA42
43,NA43
44,NA44
45,NA45
46,NA46
47,NA47
48,NA48
49,NA49
50,NA50
51,NA51
52,NA52
53,NA53
54,NA54
55,NA55
56,NA56
57,NA57
58,NA58
59,NA59
60,NA60
61,NA61
62,NA62
63,NA63
64,NA64
65,NA65
66,NA66
67,NA67
68,NA68
69,NA69
70,NA70
71,NA71
72,NA72
73,NA73
74,NA74
75,NA75
76,NA76
77,NA77
78,NA78
79,NA79
80,NA80
81,NA81
82,NA82
83,NA83
84,NA84
85,NA85
86,TA1
87,SA1
88,SA2
89,SA3
90,SA4
91,SA5
92,SA6
93,SA7
94,SA8
95,SA9
96,SA10
97,SA11
98,SA12
99,SA13
100,SA14
